agency_id,fare_id,price,currency_type,payment_method
0,0,10,MXN,0
0,1,10,MXN,0
0,2,10,MXN,0
0,3,10,MXN,0
1,4,15,MXN,0
1,5,13,MXN,0
2,6,10,MXN,0
0,7,10,MXN,0
0,8,10,MXN,0
1,9,15,MXN,0
2,10,18.5,MXN,0
2,11,18.5,MXN,0
2,12,24,MXN,0
2,13,24,MXN,0
2,14,30,MXN,0
2,15,18.5,MXN,0
0,16,10,MXN,0
2,17,17.5,MXN,0
3,18,10,MXN,0
4,19,10,MXN,0
1,20,16,MXN,0
2,21,30,MXN,0
2,22,25,MXN,0
5,23,24,MXN,0
5,24,24,MXN,0
6,25,16,MXN,0
2,26,17.5,MXN,0
1,27,16,MXN,0
2,28,25,MXN,0
2,29,18.5,MXN,0
2,30,23,MXN,0
2,31,23,MXN,0
2,32,19,MXN,0
2,33,19,MXN,0
2,34,10,MXN,0
2,35,10,MXN,0
2,36,50,MXN,0
3,37,10,MXN,0
2,38,0,MXN,0
2,39,0,MXN,0
2,40,10,MXN,0
6,41,10,MXN,0
2,42,10,MXN,0
7,43,10,MXN,0
7,44,10,MXN,0
8,45,29,MXN,0
2,46,10,MXN,0
9,47,13,MXN,0
8,48,29,MXN,0
2,49,10,MXN,0
9,50,10,MXN,0
7,51,10,MXN,0
2,52,50,MXN,0
10,53,10,MXN,0
9,54,27,MXN,0
10,55,10,MXN,0
10,56,10,MXN,0
11,57,10,MXN,0
11,58,10,MXN,0
9,59,13,MXN,0
10,60,10,MXN,0
11,61,11,MXN,0
11,62,11,MXN,0
12,63,10,MXN,0
0,64,10,MXN,0
13,65,23,MXN,0
12,66,10,MXN,0
14,67,10,MXN,0
10,68,10,MXN,0
14,69,10,MXN,0
14,70,15,MXN,0
13,71,20,MXN,0
14,72,10,MXN,0
14,73,11,MXN,0
11,74,10,MXN,0
14,75,18,MXN,0
7,76,16,MXN,0
0,77,10,MXN,0
14,78,16,MXN,0
9,79,17,MXN,0
14,80,15,MXN,0
14,81,25,MXN,0
14,82,25,MXN,0
3,83,10,MXN,0
14,84,16,MXN,0
3,85,10,MXN,0
13,86,20,MXN,0
0,87,10,MXN,0
14,88,18,MXN,0
4,89,10,MXN,0
0,90,10,MXN,0
0,91,10,MXN,0
4,92,12,MXN,0
1,93,13,MXN,0
4,94,12,MXN,0
2,95,10,MXN,0
9,96,13,MXN,0
15,97,10,MXN,0
2,98,19,MXN,0
11,99,10,MXN,0
2,100,19,MXN,0
12,101,10,MXN,0
12,102,10,MXN,0
2,103,32,MXN,0
2,104,32,MXN,0
6,105,0,MXN,0
2,106,10,MXN,0
2,107,10,MXN,0
2,108,10,MXN,0
16,109,10,MXN,0
9,110,10,MXN,0
14,111,18,MXN,0
16,112,10,MXN,0
14,113,10,MXN,0
14,114,10,MXN,0
15,115,10,MXN,0
13,116,23,MXN,0
16,117,10,MXN,0
9,118,10,MXN,0
2,119,10,MXN,0
15,120,10,MXN,0
15,121,10,MXN,0
16,122,10,MXN,0
14,123,10,MXN,0
14,124,18,MXN,0
7,125,16,MXN,0
14,126,18,MXN,0
9,127,13,MXN,0
14,128,11,MXN,0
14,129,10,MXN,0
2,130,10,MXN,0
14,131,10,MXN,0
14,132,18,MXN,0
14,133,13,MXN,0
17,134,0,MXN,0
14,135,13,MXN,0
2,136,10,MXN,0
14,137,12,MXN,0
14,138,12,MXN,0
1,139,11,MXN,0
1,140,11,MXN,0
14,141,10,MXN,0
14,142,25,MXN,0
9,143,10,MXN,0
6,144,16,MXN,0
3,145,10,MXN,0
3,146,10,MXN,0
9,147,27,MXN,0
7,148,10,MXN,0
