route_id,agency_id,route_short_name,route_long_name,route_color,route_type
19455302,0,Mano Amiga,Mercado → Las Huertas/Agua Escondida,1D3A72,3
19455324,0,Mano Amiga,Las Huertas/Agua Escondida → Mercado,1D3A72,3
19455371,0,Mano Amiga,Mercado → Xhixhata/Santa Martha de la Cruz,1D3A72,3
19455382,0,Mano Amiga,Mercado → La Comunidad,1D3A72,3
19455390,0,Mano Amiga,Mercado → Buenavista,1D3A72,3
19512377,0,Mano Amiga,Xhixhata/Santa Martha de la Cruz → Mercado,1D3A72,3
19512573,0,Mano Amiga,La Comunidad → Terminal,1D3A72,3
19512577,0,Mano Amiga,Mercado → El Huizache/El Banco,1D3A72,3
19512581,0,Mano Amiga,El Huizache/El Banco → Base Panteon,1D3A72,3
19525478,0,Mano Amiga A,Buenavista → Terminal,1D3A72,3
19525486,0,Mano Amiga B,Buenavista → Terminal,1D3A72,3
19525563,0,Mano Amiga,Mercado → La Huaracha (vía Llano Grande),1D3A72,3
19525565,0,Mano Amiga,La Huaracha (vía Llano Grande) → Terminal,1D3A72,3
19525567,0,Mano Amiga,Mercado → La Huaracha (vía Aldama),1D3A72,3
19525570,0,Mano Amiga,La Huaracha (vía Aldama) → Terminal,1D3A72,3
19525601,0,Mano Amiga,Mercado → El Saltillo,1D3A72,3
19525606,0,Mano Amiga,El Saltillo → Terminal,1D3A72,3
19525611,0,Mano Amiga,Mercado → Calpulalpan,1D3A72,3
19525623,0,Mano Amiga,Calpulalpan → Terminal,1D3A72,3
19525638,0,Mano Amiga,Mercado → Xhimohay,1D3A72,3
19525651,0,Mano Amiga,Xhimohay → Terminal,1D3A72,3
19525659,0,Mano Amiga,Mercado → Ejido San Lorenzo Octeyuco,1D3A72,3
19525663,0,Mano Amiga,Ejido San Lorenzo Octeyuco → Terminal,1D3A72,3
19525667,0,Mano Amiga,Mercado → Doxhicho,1D3A72,3
19525674,0,Mano Amiga,Doxhicho → Terminal,1D3A72,3
19525693,0,Mano Amiga,Mercado → San Lorenzo Octeyuco,1D3A72,3
19525699,0,Mano Amiga,Mercado → San Pablo/El Pedregal,1D3A72,3
19525710,0,Mano Amiga,San Lorenzo Octeyuco → Terminal,1D3A72,3
19525711,0,Mano Amiga,San Pablo/El Pedregal → Terminal,1D3A72,3
19525716,0,Mano Amiga,Mercado → Santiago Oxthoc,1D3A72,3
19525720,0,Mano Amiga,Santiago Oxthoc → Aurrera,1D3A72,3
19525723,1,Halcones Rojos,Terminal → San Lorenzo Nenamicoyan,FB0102,3
19525724,1,Halcones Rojos,San Lorenzo Nenamicoyan → Terminal,FB0102,3
19528431,2,AVM,Terminal → Km 107,99BF12,3
19528433,2,AVM,Km 107 → Terminal,99BF12,3
19528454,2,AVM,Terminal → San Juan Tuxtepec,99BF12,3
