trip_id,stop_sequence,stop_id,arrival_time,departure_time,timepoint
0,0,4491341158,00:00:00,00:00:00,0
0,1,4491341159,00:00:20,00:00:20,0
0,2,4491341199,00:00:40,00:00:40,0
0,3,2027267110,00:00:59,00:00:59,0
0,4,4491341208,00:01:17,00:01:17,0
0,5,2027267071,00:01:33,00:01:33,0
0,6,6274545385,00:01:49,00:01:49,0
0,7,2027267056,00:02:06,00:02:06,0
0,8,8424894649,00:02:23,00:02:23,0
0,9,2594568434,00:02:51,00:02:51,0
0,10,6817965105,00:03:18,00:03:18,0
0,11,6274546514,00:03:43,00:03:43,0
0,12,2027267030,00:04:00,00:04:00,0
0,13,6274546256,00:04:54,00:04:54,0
0,14,6274545655,00:05:23,00:05:23,0
0,15,469303147,00:05:38,00:05:38,0
0,16,5775943810,00:06:12,00:06:12,0
0,17,5775943808,00:06:27,00:06:27,0
0,18,8456131466,00:06:45,00:06:45,0
0,19,4491341099,00:07:04,00:07:04,0
0,20,2027266703,00:07:35,00:07:35,0
1,0,2027266569,00:00:00,00:00:00,0
1,1,6131669132,00:00:27,00:00:27,0
1,2,7128925576,00:00:46,00:00:46,0
1,3,2027266419,00:01:15,00:01:15,0
1,4,1873912222,00:01:45,00:01:45,0
1,5,6821345755,00:02:13,00:02:13,0
1,6,6820758013,00:02:31,00:02:31,0
1,7,1955005850,00:02:47,00:02:47,0
1,8,1955005871,00:03:03,00:03:03,0
1,9,469303316,00:03:23,00:03:23,0
1,10,469299103,00:03:38,00:03:38,0
1,11,2027266318,00:04:03,00:04:03,0
1,12,1873912223,00:04:32,00:04:32,0
1,13,2027266440,00:05:01,00:05:01,0
1,14,1873912227,00:05:30,00:05:30,0
1,15,1873912230,00:06:00,00:06:00,0
1,16,2028241642,00:06:19,00:06:19,0
1,17,2027266677,00:06:36,00:06:36,0
1,18,8478031137,00:06:52,00:06:52,0
1,19,1954995905,00:07:10,00:07:10,0
1,20,2027266832,00:07:32,00:07:32,0
1,21,6370750625,00:07:52,00:07:52,0
1,22,6131663677,00:08:11,00:08:11,0
1,23,469300027,00:08:27,00:08:27,0
1,24,8478837756,00:08:51,00:08:51,0
1,25,2027266998,00:09:08,00:09:08,0
1,26,2594568428,00:09:26,00:09:26,0
1,27,1955005902,00:09:45,00:09:45,0
1,28,1955005760,00:10:06,00:10:06,0
1,29,6817965089,00:10:23,00:10:23,0
1,30,6274544795,00:10:43,00:10:43,0
1,31,2594568509,00:11:01,00:11:01,0
1,32,2594568541,00:11:15,00:11:15,0
1,33,2594568536,00:11:42,00:11:42,0
1,34,4491341248,00:12:05,00:12:05,0
1,35,4491341154,00:12:27,00:12:27,0
1,36,2594568652,00:12:44,00:12:44,0
2,0,3401953581,00:00:00,00:00:00,0
2,1,3401953801,00:00:22,00:00:22,0
2,2,3401953824,00:00:39,00:00:39,0
2,3,3401953816,00:00:57,00:00:57,0
2,4,3401953808,00:01:16,00:01:16,0
2,5,6131668841,00:01:34,00:01:34,0
2,6,6131669064,00:02:01,00:02:01,0
2,7,2027266031,00:02:22,00:02:22,0
2,8,8478437231,00:02:35,00:02:35,0
2,9,2028241020,00:03:24,00:03:24,0
2,10,6131668433,00:03:43,00:03:43,0
2,11,4899550630,00:04:04,00:04:04,0
2,12,4899550631,00:04:22,00:04:22,0
2,13,3401953993,00:04:41,00:04:41,0
2,14,8495738682,00:04:58,00:04:58,0
2,15,4899550628,00:05:14,00:05:14,0
2,16,1955005884,00:05:30,00:05:30,0
2,17,1955005833,00:05:50,00:05:50,0
2,18,4899550351,00:06:08,00:06:08,0
2,19,4899550352,00:06:24,00:06:24,0
2,20,1955005906,00:07:47,00:07:47,0
2,21,6821345750,00:08:04,00:08:04,0
2,22,2027266318,00:08:26,00:08:26,0
2,23,1873912223,00:08:55,00:08:55,0
2,24,2027266440,00:09:24,00:09:24,0
2,25,1873912227,00:09:53,00:09:53,0
2,26,1873912230,00:10:23,00:10:23,0
2,27,2028241642,00:10:42,00:10:42,0
2,28,2027266677,00:10:59,00:10:59,0
2,29,6131669080,00:11:17,00:11:17,0
2,30,2027266703,00:11:37,00:11:37,0
2,31,2027266569,00:12:13,00:12:13,0
2,32,6131663670,00:12:28,00:12:28,0
3,0,2027266523,00:00:00,00:00:00,0
3,1,2027266489,00:00:16,00:00:16,0
3,2,2027266446,00:00:45,00:00:45,0
3,3,2027266377,00:01:14,00:01:14,0
3,4,5917171527,00:01:43,00:01:43,0
3,5,2027266265,00:02:10,00:02:10,0
3,6,8488058072,00:02:26,00:02:26,0
3,7,4899550683,00:03:00,00:03:00,0
3,8,1955005923,00:03:38,00:03:38,0
3,9,569856700,00:03:57,00:03:57,0
3,10,569856701,00:04:15,00:04:15,0
3,11,291178913,00:04:32,00:04:32,0
3,12,4899550344,00:04:48,00:04:48,0
3,13,1011825759,00:05:04,00:05:04,0
3,14,1011828651,00:05:21,00:05:21,0
3,15,4899550634,00:05:36,00:05:36,0
3,16,1011826619,00:05:53,00:05:53,0
3,17,6131668052,00:06:11,00:06:11,0
3,18,4491341450,00:06:31,00:06:31,0
4,0,2594568652,00:00:00,00:00:00,0
4,1,2594568655,00:00:29,00:00:29,0
4,2,4491341263,00:00:45,00:00:45,0
4,3,4491341247,00:01:08,00:01:08,0
4,4,4491341268,00:01:24,00:01:24,0
