trip_id,route_id,service_id,shape_id
0,19626603,Mo-Su,19626603
1,19626621,Mo-Su,19626621
2,19626623,Mo-Su,19626623
3,19626624,Mo-Su,19626624
4,19626625,Mo-Su,19626625
5,19626645,Mo-Su,19626645
6,19626654,Mo-Su,19626654
7,19626658,Mo-Su,19626658
8,19626660,Mo-Su,19626660
9,19626664,Mo-Su,19626664
10,19626665,Mo-Su,19626665
11,19626666,Mo-Su,19626666
12,19626685,Mo-Su,19626685
13,19626689,Mo-Su,19626689
14,19626801,Mo-Su,19626801
15,19626803,Mo-Su,19626803
16,19626818,Mo-Su,19626818
17,19626841,Mo-Su,19626841
18,19626854,Mo-Su,19626854
19,19626856,Mo-Su,19626856
20,19626870,Mo-Su,19626870
21,19626909,Mo-Su,19626909
22,19626958,Mo-Su,19626958
23,19626959,Mo-Su,19626959
24,19626964,Mo-Su,19626964
25,19626966,Mo-Su,19626966
26,19626980,Mo-Su,19626980
27,19647990,Mo-Su,19647990
28,19647998,Mo-Su,19647998
