agency_id,agency_name,agency_timezone,agency_url
0,"Autotransportes Toluca Capultitlán Triángulo Rojo, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
1,"Autobuses Estrella del Noreste, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
2,"Autobuses Flecha Blanca de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
3,"Autotransportes del Valle de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
4,"Línea de Turismos Toluca Tenango Estrella de Oro, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
5,"Autotransportes de Pasajeros de Segunda Clase Ala de Oro, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
6,"Autotransportes Urbanos y Suburbanos de la Ciudad de Toluca y Zona Industrial, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
7,"Autotransportes Temoayenses, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
8,TBD,America/Mexico_City,https://transportes-toluca.mx/
9,"Red de Transporte Público, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
10,"Autotransportes Toluca Tlachaloya y Ramales, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
11,"Servicio Intermetropolitano de Transporte, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
12,"Autotransportes Toluca Cuatro Caminos, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
13,"Servicios Urbanos y Suburbanos Xinantécatl, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
14,"Transportes de Pasajeros de Segunda Clase Flecha de Oro, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
15,"Transportes Crucero, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
16,"Autotransportes Cultural de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
17,"Concentradora Urbana de Pasaje, S. de R.L. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
18,"Autotransportes Urbanos de Toluca y Zona Conurbada, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
19,"Rápidos del Valle de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
20,"Autotransportes Urbanos y Suburbanos Pegaso de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
21,"Autotransportes 8 de Noviembre, S. de R.L. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
22,"Sistema de Transporte Urbano y Suburbano de la Ciudad de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
23,"Autotransportes Urbanos y Suburbanos Torres Bicentenario, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
24,"Autotransportes Primero de Mayo, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
25,"Autotransportes Satélite Urbanos y Suburbanos de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
26,"Autotransportes Colón Nacional, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
27,"Transportes Urbanos y Suburbanos Tollocan, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
28,"Autotransportes Urbanos y Suburbanos Corsarios del Norte, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
29,"Autotransportes Urbanos Gacela de Toluca, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
30,"Multiservicios de Transportación de México, S.A. de C.V.",America/Mexico_City,https://transportes-toluca.mx/
