fare_id,route_id
0,16138027
1,16138036
2,16138039
3,16138077
4,16138089
5,16138093
6,16138106
7,16138112
8,16138117
9,16138165
10,16138173
11,16138184
12,16138187
13,16138287
14,16138293
15,16138296
16,16138297
17,16138302
18,16138322
19,16138353
20,16138357
21,16138372
22,16138375
23,16138379
24,16138396
25,16138402
26,16138408
27,16138411
28,16138415
29,16140225
30,16140252
31,16140253
32,16140259
33,16140261
34,16140267
35,16140269
36,16140281
37,16140283
38,16140292
39,16140296
40,16140322
41,16140323
42,16140326
43,16140335
44,16140338
45,16140340
46,16140378
47,16140449
48,16140451
49,16140456
50,16140459
51,16140463
52,16140480
53,16140497
54,16160431
55,16160475
56,16160482
57,16160498
58,16160501
59,16160511
60,16160513
61,16160514
62,16160555
63,16160557
64,16160562
65,16160567
66,16160605
67,16160610
68,16160615
69,16160627
70,16160646
71,16160647
72,16160682
73,16160862
74,16160906
75,16191109
76,16191368
77,16244014
78,16268349
79,16335654
