trip_id,start_time,end_time,headway_secs,exact_times
0,06:00:00,21:00:00,300,1
1,06:00:00,21:00:00,300,1
2,06:00:00,21:00:00,300,1
3,06:00:00,21:00:00,300,1
4,06:00:00,21:00:00,300,1
5,06:00:00,21:00:00,300,1
6,06:00:00,21:00:00,300,1
7,06:00:00,21:00:00,300,1
8,06:00:00,21:00:00,300,1
9,06:00:00,21:00:00,300,1
10,06:00:00,21:00:00,300,1
11,06:00:00,21:00:00,300,1
12,06:00:00,21:00:00,300,1
13,06:00:00,21:00:00,300,1
14,06:00:00,21:00:00,300,1
15,06:00:00,21:00:00,300,1
16,06:00:00,21:00:00,300,1
17,06:00:00,21:00:00,300,1
18,06:00:00,21:00:00,300,1
19,06:00:00,21:00:00,300,1
20,06:00:00,21:00:00,300,1
21,06:00:00,21:00:00,300,1
22,06:00:00,21:00:00,300,1
23,06:00:00,21:00:00,300,1
24,06:00:00,21:00:00,300,1
25,06:00:00,21:00:00,300,1
26,06:00:00,21:00:00,300,1
27,06:00:00,21:00:00,300,1
28,06:00:00,21:00:00,300,1
29,06:00:00,21:00:00,300,1
30,06:00:00,21:00:00,300,1
31,06:00:00,21:00:00,300,1
32,06:00:00,21:00:00,300,1
33,06:00:00,21:00:00,300,1
34,06:00:00,21:00:00,300,1
35,06:00:00,21:00:00,300,1
36,06:00:00,21:00:00,300,1
37,06:00:00,21:00:00,300,1
38,06:00:00,21:00:00,300,1
39,06:00:00,21:00:00,300,1
40,06:00:00,21:00:00,300,1
41,06:00:00,21:00:00,300,1
42,06:00:00,21:00:00,300,1
43,06:00:00,21:00:00,300,1
44,06:00:00,21:00:00,300,1
45,06:00:00,21:00:00,300,1
46,06:00:00,21:00:00,300,1
47,06:00:00,21:00:00,300,1
48,06:00:00,21:00:00,300,1
49,06:00:00,21:00:00,300,1
50,06:00:00,21:00:00,300,1
51,06:00:00,21:00:00,300,1
52,06:00:00,21:00:00,300,1
53,06:00:00,21:00:00,300,1
54,06:00:00,21:00:00,300,1
55,06:00:00,21:00:00,300,1
56,06:00:00,21:00:00,300,1
57,06:00:00,21:00:00,300,1
58,06:00:00,21:00:00,300,1
59,06:00:00,21:00:00,300,1
60,06:00:00,21:00:00,300,1
61,06:00:00,21:00:00,300,1
62,06:00:00,21:00:00,300,1
63,06:00:00,21:00:00,300,1
64,06:00:00,21:00:00,300,1
65,06:00:00,21:00:00,300,1
66,06:00:00,21:00:00,300,1
67,06:00:00,21:00:00,300,1
68,06:00:00,21:00:00,300,1
69,06:00:00,21:00:00,300,1
70,06:00:00,21:00:00,300,1
71,06:00:00,21:00:00,300,1
72,06:00:00,21:00:00,300,1
73,06:00:00,21:00:00,300,1
74,06:00:00,21:00:00,300,1
75,06:00:00,21:00:00,300,1
76,06:00:00,21:00:00,300,1
77,06:00:00,21:00:00,300,1
78,06:00:00,21:00:00,300,1
79,06:00:00,21:00:00,300,1
