agency_id,agency_name,agency_timezone,agency_url
0,Amarilla,America/Mexico_City,https://transportes-zitacuaro.mx/
1,Roja y Azul,America/Mexico_City,https://transportes-zitacuaro.mx/
2,Azul,America/Mexico_City,https://transportes-zitacuaro.mx/
3,Azul Cielo,America/Mexico_City,https://transportes-zitacuaro.mx/
4,Morada,America/Mexico_City,https://transportes-zitacuaro.mx/
5,Fucsia,America/Mexico_City,https://transportes-zitacuaro.mx/
6,Verde Azul,America/Mexico_City,https://transportes-zitacuaro.mx/
7,Roja,America/Mexico_City,https://transportes-zitacuaro.mx/
8,Verde Lima,America/Mexico_City,https://transportes-zitacuaro.mx/
9,Guinda,America/Mexico_City,https://transportes-zitacuaro.mx/
10,Naranja,America/Mexico_City,https://transportes-zitacuaro.mx/
11,Café,America/Mexico_City,https://transportes-zitacuaro.mx/
12,Dorada y Marrón,America/Mexico_City,https://transportes-zitacuaro.mx/
13,Crema,America/Mexico_City,https://transportes-zitacuaro.mx/
14,Blanca,America/Mexico_City,https://transportes-zitacuaro.mx/
15,Rosa,America/Mexico_City,https://transportes-zitacuaro.mx/
16,Verde,America/Mexico_City,https://transportes-zitacuaro.mx/
17,Coral,America/Mexico_City,https://transportes-zitacuaro.mx/
