trip_id,start_time,end_time,headway_secs,exact_times
0,06:00:00,20:00:00,300,1
1,06:00:00,20:00:00,300,1
2,06:15:00,20:00:00,300,1
3,06:00:00,22:00:00,300,1
4,08:40:00,19:00:00,300,1
5,08:40:00,18:30:00,300,1
6,06:30:00,19:00:00,300,1
7,06:00:00,22:00:00,300,1
8,06:15:00,20:00:00,300,1
9,05:20:00,18:00:00,300,1
10,11:00:00,16:00:00,300,1
11,07:00:00,13:50:00,300,1
12,07:00:00,17:30:00,300,1
13,07:00:00,17:30:00,300,1
14,06:15:00,16:00:00,300,1
15,07:00:00,13:20:00,300,1
16,06:00:00,20:00:00,300,1
17,07:30:00,18:00:00,300,1
18,06:00:00,20:00:00,300,1
19,06:50:00,20:00:00,300,1
20,08:10:00,20:30:00,300,1
21,06:15:00,16:00:00,300,1
22,05:50:00,18:00:00,300,1
23,05:50:00,20:15:00,300,1
24,05:50:00,20:15:00,300,1
25,06:00:00,20:30:00,300,1
26,07:30:00,18:00:00,300,1
27,06:00:00,19:00:00,300,1
28,05:50:00,18:00:00,300,1
29,09:40:00,15:50:00,300,1
30,06:15:00,17:45:00,300,1
31,08:30:00,15:45:00,300,1
32,06:00:00,22:00:00,300,1
33,06:00:00,22:00:00,300,1
34,08:00:00,13:20:00,300,1
35,08:00:00,13:20:00,300,1
36,06:15:00,16:00:00,300,1
37,06:00:00,20:30:00,300,1
38,06:00:00,22:00:00,300,1
39,06:00:00,22:00:00,300,1
40,06:30:00,19:00:00,300,1
41,08:30:00,15:30:00,300,1
42,07:00:00,14:00:00,300,1
43,06:30:00,20:30:00,300,1
44,06:30:00,20:30:00,300,1
45,07:00:00,19:00:00,300,1
46,07:00:00,14:00:00,300,1
47,07:30:00,20:00:00,300,1
48,06:30:00,19:30:00,300,1
49,06:45:00,20:00:00,300,1
50,06:00:00,21:00:00,300,1
51,06:30:00,20:30:00,300,1
52,07:30:00,12:00:00,300,1
53,06:00:00,20:00:00,300,1
54,08:00:00,13:00:00,300,1
55,06:30:00,20:30:00,300,1
56,06:30:00,20:30:00,300,1
57,07:15:00,19:35:00,300,1
58,06:50:00,19:30:00,300,1
59,06:45:00,18:45:00,300,1
60,06:00:00,20:00:00,300,1
61,06:30:00,19:30:00,300,1
62,06:50:00,20:00:00,300,1
63,06:30:00,19:00:00,300,1
64,07:00:00,20:00:00,300,1
65,05:45:00,20:20:00,300,1
66,06:00:00,19:00:00,300,1
67,06:00:00,20:30:00,300,1
68,06:00:00,20:00:00,300,1
69,05:00:00,19:40:00,300,1
70,06:30:00,19:00:00,300,1
71,06:50:00,19:30:00,300,1
72,05:45:00,20:20:00,300,1
73,06:30:00,19:00:00,300,1
74,06:00:00,20:30:00,300,1
75,07:15:00,19:35:00,300,1
76,07:20:00,19:00:00,300,1
77,07:00:00,19:00:00,300,1
78,06:00:00,19:30:00,300,1
79,07:00:00,19:30:00,300,1
80,08:30:00,15:30:00,300,1
81,06:30:00,20:30:00,300,1
82,07:00:00,17:00:00,300,1
83,07:10:00,12:00:00,300,1
84,07:10:00,12:00:00,300,1
85,06:00:00,20:00:00,300,1
86,07:10:00,12:00:00,300,1
87,05:30:00,18:40:00,300,1
88,05:45:00,20:20:00,300,1
89,06:30:00,19:45:00,300,1
90,07:10:00,12:00:00,300,1
91,06:30:00,19:30:00,300,1
92,06:30:00,19:30:00,300,1
93,06:00:00,19:30:00,300,1
94,07:00:00,19:30:00,300,1
95,05:45:00,19:50:00,300,1
96,08:40:00,18:30:00,300,1
97,05:45:00,19:13:00,300,1
98,07:00:00,20:00:00,300,1
99,06:45:00,18:45:00,300,1
100,06:00:00,19:00:00,300,1
101,06:50:00,20:00:00,300,1
102,06:50:00,19:30:00,300,1
103,05:50:00,20:00:00,300,1
104,06:00:00,19:00:00,300,1
105,06:30:00,19:00:00,300,1
106,05:50:00,14:00:00,300,1
107,10:00:00,17:00:00,300,1
108,07:00:00,18:00:00,300,1
109,06:30:00,20:00:00,300,1
110,06:30:00,20:00:00,300,1
111,06:30:00,20:00:00,300,1
112,06:20:00,20:00:00,300,1
113,06:30:00,20:45:00,300,1
114,08:20:00,19:40:00,300,1
115,06:50:00,20:00:00,300,1
116,06:30:00,19:00:00,300,1
117,06:30:00,19:00:00,300,1
118,06:00:00,19:30:00,300,1
119,05:45:00,20:20:00,300,1
120,06:50:00,20:00:00,300,1
121,06:00:00,21:00:00,300,1
122,06:30:00,20:00:00,300,1
123,06:00:00,17:30:00,300,1
124,06:00:00,17:30:00,300,1
125,06:20:00,20:00:00,300,1
126,05:00:00,19:40:00,300,1
127,06:30:00,19:00:00,300,1
128,06:00:00,17:30:00,300,1
129,07:00:00,19:00:00,300,1
130,06:40:00,19:40:00,300,1
131,07:30:00,20:00:00,300,1
132,06:00:00,20:30:00,300,1
133,06:00:00,19:30:00,300,1
134,07:00:00,20:00:00,300,1
135,06:00:00,19:30:00,300,1
136,09:00:00,18:30:00,300,1
137,06:30:00,19:30:00,300,1
138,06:00:00,22:00:00,300,1
139,06:30:00,19:30:00,300,1
140,06:45:00,20:00:00,300,1
141,07:20:00,21:12:00,300,1
142,05:30:00,19:20:00,300,1
143,08:13:00,20:40:00,300,1
144,06:00:00,20:40:00,300,1
145,06:00:00,20:30:00,300,1
146,07:20:00,19:00:00,300,1
147,06:30:00,20:45:00,300,1
148,06:00:00,20:30:00,300,1
149,06:00:00,19:20:00,300,1
150,06:30:00,20:00:00,300,1
151,08:00:00,13:00:00,300,1
152,06:30:00,20:30:00,300,1
