route_id,agency_id,route_short_name,route_long_name,route_color,route_type
15257790,0,AM3,Issste → Fovissste,FBC02D,3
15489318,0,AM1,Infonavit → Central,FBC02D,3
15489347,0,AM1,Central → Infonavit,FBC02D,3
15489349,0,AM4,Issste → Vista Hermosa,FBC02D,3
15489350,1,RA2,Nicolás Romero → Tres Cruces,283593,3
15489351,1,RA3,Las Canoas → Nicolás Romero,283593,3
15489352,2,AZ2,Zitácuaro → Puente de San Miguel (por Moctezuma),1A73E8,3
15489359,0,AM4,Vista Hermosa → Infonavit,FBC02D,3
15489361,0,AM2,Central → Infonavit - Alberca,FBC02D,3
15489363,1,RA3,Tres Cruces → Nicolás Romero,283593,3
15489370,2,AZ11,Las Peras → Zitácuaro,1A73E8,3
15489371,2,AZ12,Zitácuaro → Pedregal,1A73E8,3
15489373,2,AZ13,Zitácuaro → Rincón de Ahorcados,1A73E8,3
15489374,2,AZ13,Rincón de Ahorcados → Zitácuaro,1A73E8,3
15489384,2,AZ17,Rincón de Ex-Hacienda → Zitácuaro,1A73E8,3
15489386,2,AZ11,Zitácuaro → Las Peras,1A73E8,3
15489390,0,AM2,Alberca → Infonavit - Central,FBC02D,3
15489397,2,AZ10,Seis Palos → Zitácuaro,1A73E8,3
15489423,3,AC2,Zitácuaro → Mesa de Cedano (La Palma),B1D4EE,3
15489428,4,MR1,Zaragoza → UPN,6A1B9A,3
15489440,1,RA4,Nicolás Romero → Campamento,283593,3
15489443,2,AZ17,Zitácuaro → Rincón de Ex-Hacienda,1A73E8,3
15489552,2,AZ1,Zitácuaro → Copándaro,1A73E8,3
15489561,5,FC1,Zitácuaro → Rincón de San Felipe,C2185B,3
15489589,5,FC1,Rincón de San Felipe → Zitácuaro,C2185B,3
15503952,6,VA1,Zitácuaro → Puerto Azul (Rincón de Corungueo),00897B,3
15503971,2,AZ10,Zitácuaro → Seis Palos,1A73E8,3
15503978,1,RA4,Campamento → Nicolás Romero,283593,3
15504024,2,AZ1,Copándaro → Zitácuaro,1A73E8,3
15504053,2,AZ12,Pedregal → Zitácuaro,1A73E8,3
15504060,2,AZ14,Zitácuaro → La Pera,1A73E8,3
15504152,2,AZ14,La Pera → Zitácuaro,1A73E8,3
15504158,2,AZ15,Zitácuaro → Landeros,1A73E8,3
15504695,2,AZ15,Landeros → Zitácuaro,1A73E8,3
15506144,2,AZ16,La Palma → Zitácuaro,1A73E8,3
15506192,2,AZ16,Zitácuaro → La Palma,1A73E8,3
15506193,2,AZ18,Susupuato → Los Hoyos - El Tanque - Zitácuaro,1A73E8,3
15506215,3,AC2,Zitácuaro → Mesa de Cedano (Hotel El Dorado),B1D4EE,3
15506717,2,AZ19,Zitácuaro → Salesiano-Hucaz,1A73E8,3
15506718,2,AZ19,Salesiano-Hucaz → Zitácuaro,1A73E8,3
15506722,2,AZ2,Puente de San Miguel (por Moctezuma) → Zitácuaro,1A73E8,3
15506727,6,VA2,Puerto Azul → Zitácuaro,00897B,3
15506734,2,AZ3,Central → Independencia (por Pueblita),1A73E8,3
15506739,7,RJ2,Vicente Suárez → IMSS,D81B1B,3
15506740,7,RJ3,IMSS → Mercadito,D81B1B,3
15506769,8,VL1,Piedras de Lumbre → Zitácuaro,9E9D24,3
15506776,2,AZ3,Central → Independencia (por Centro),1A73E8,3
15506782,9,GD5,Valle Verde (El Granejo) → Zitácuaro,800000,3
15506805,8,VL1,Zitácuaro → Piedras de Lumbre,9E9D24,3
15506806,2,AZ4,Central → Morelos (por Pueblita),1A73E8,3
15506829,9,GD6,Valle Verde (Corungueo) → Zitácuaro,800000,3
15506834,7,RJ3,Mercadito → IMSS,D81B1B,3
15506839,2,AZ18,Zitácuaro → El Tanque - Los Hoyos - Susupuato,1A73E8,3
15506844,10,NR2,Barandillas → La Palma,F57C00,3
15506856,9,GD2,Las Lomas → Zitácuaro,800000,3
15506858,10,NR3,Gas → Central,F57C00,3
15506859,10,NR3,Central → Gas,F57C00,3
15506879,11,CF1,La Angostura → México 68,6D4C41,3
15506889,11,CF1,México 68 → La Angostura,6D4C41,3
15506895,9,GD3,Zitácuaro → La Palma,800000,3
15506896,10,NR2,La Palma → Barandillas,F57C00,3
15506921,11,CF3,La Loma → México 68,6D4C41,3
15506928,11,CF3,México 68 → La Loma,6D4C41,3
15506962,12,DM2,Centro → Las Rosas,D2A82E,3
15518868,0,AM3,Fovissste → Issste,FBC02D,3
15530520,13,CR2,Zitácuaro → Zirahuato (Colectivo foráneo A),FCDDBB,3
15530522,12,DM1,Centro → Las Rosas,D2A82E,3
15530536,14,BL1,Zitácuaro → El Polvorín (ICATMI),B3B3B3,3
15530561,10,NR1,Circuito Revolución → Aurrerá,F57C00,3
15530563,14,BL16,Tecnológico → Zitácuaro,B3B3B3,3
15530564,14,BL10,Zitácuaro → Coatepec de Morelos (San Pancho),B3B3B3,3
15530577,13,CR1,Zitácuaro → Zirahuato (Colectivo foráneo B),FCDDBB,3
15530582,14,BL6,Salesiano → Salesiano,B3B3B3,3
15530583,14,BL11,Zitácuaro → Loma Larga,B3B3B3,3
15530586,11,CF2,México 68 → Coatepec de Morelos,6D4C41,3
15530609,14,BL9,Zitácuaro → San Mateo (Crescencio Morales),B3B3B3,3
15530612,7,RJ1,Mesa de San Felipe → Zitácuaro,D81B1B,3
15530613,0,AM6,Camémbaro → Issste,FBC02D,3
15530622,14,BL8,Zitácuaro → Puerto Azul,B3B3B3,3
15530626,9,GD1,Zitácuaro → Los Zapotes,800000,3
15530653,14,BL8,Puerto Azul → Zitácuaro,B3B3B3,3
15530656,14,BL12,Zitácuaro → Crescencio Morales,B3B3B3,3
15530667,14,BL12,Crescencio Morales → Zitácuaro,B3B3B3,3
