trip_id,route_id,service_id,shape_id
0,15257790,Mo-Su,15257790
1,15489318,Mo-Su,15489318
2,15489347,Mo-Su,15489347
3,15489349,Mo-Su,15489349
4,15489350,Mo-Su,15489350
5,15489351,Mo-Su,15489351
6,15489352,Mo-Su,15489352
7,15489359,Mo-Su,15489359
8,15489361,Mo-Su,15489361
9,15489363,Mo-Su,15489363
10,15489370,Mo-Su,15489370
11,15489371,Mo-Su,15489371
12,15489373,Mo-Su,15489373
13,15489374,Mo-Su,15489374
14,15489384,Mo-Su,15489384
15,15489386,Mo-Su,15489386
16,15489390,Mo-Su,15489390
17,15489397,Mo-Su,15489397
18,15489423,Mo-Su,15489423
19,15489428,Mo-Su,15489428
20,15489440,Mo-Su,15489440
21,15489443,Mo-Su,15489443
22,15489552,Mo-Su,15489552
23,15489561,Mo-Su,15489561
24,15489589,Mo-Su,15489589
25,15503952,Mo-Su,15503952
26,15503971,Mo-Su,15503971
27,15503978,Mo-Su,15503978
28,15504024,Mo-Su,15504024
29,15504053,Mo-Su,15504053
30,15504060,Mo-Su,15504060
31,15504152,Mo-Su,15504152
32,15504158,Mo-Su,15504158
33,15504695,Mo-Su,15504695
34,15506144,Mo-Su,15506144
35,15506192,Mo-Su,15506192
36,15506193,Mo-Su,15506193
37,15506215,Mo-Su,15506215
38,15506717,Mo-Su,15506717
39,15506718,Mo-Su,15506718
40,15506722,Mo-Su,15506722
41,15506727,Mo-Su,15506727
42,15506734,Mo-Su,15506734
43,15506739,Mo-Su,15506739
44,15506740,Mo-Su,15506740
45,15506769,Mo-Su,15506769
46,15506776,Mo-Su,15506776
47,15506782,Mo-Su,15506782
48,15506805,Mo-Su,15506805
49,15506806,Mo-Su,15506806
50,15506829,Mo-Su,15506829
51,15506834,Mo-Su,15506834
52,15506839,Mo-Su,15506839
53,15506844,Mo-Su,15506844
54,15506856,Mo-Su,15506856
55,15506858,Mo-Su,15506858
56,15506859,Mo-Su,15506859
57,15506879,Mo-Su,15506879
58,15506889,Mo-Su,15506889
59,15506895,Mo-Su,15506895
60,15506896,Mo-Su,15506896
61,15506921,Mo-Su,15506921
62,15506928,Mo-Su,15506928
63,15506962,Mo-Su,15506962
64,15518868,Mo-Su,15518868
65,15530520,Mo-Su,15530520
66,15530522,Mo-Su,15530522
67,15530536,Mo-Su,15530536
68,15530561,Mo-Su,15530561
69,15530563,Mo-Sa,15530563
70,15530563,Su,15530563
71,15530564,Mo-Su,15530564
72,15530577,Mo-Su,15530577
73,15530582,Mo-Su,15530582
74,15530583,Mo-Su,15530583
75,15530586,Mo-Su,15530586
76,15530609,Mo-Su,15530609
77,15530612,Mo-Su,15530612
78,15530613,Mo-Fr,15530613
79,15530613,Sa-Su,15530613
80,15530622,Mo-Su,15530622
81,15530626,Mo-Su,15530626
82,15530653,Mo-Su,15530653
83,15530656,Mo-Su,15530656
84,15530667,Mo-Su,15530667
85,15530671,Mo-Su,15530671
86,15530674,Mo-Su,15530674
87,15530694,Mo-Su,15530694
88,15530720,Mo-Su,15530720
89,15530758,Mo-Su,15530758
90,15530768,Mo-Su,15530768
91,15530776,Mo-Su,15530776
92,15530790,Mo-Su,15530790
93,15530808,Mo-Fr,15530808
94,15530808,Sa-Su,15530808
95,15530862,Mo-Su,15530862
96,15530863,Mo-Su,15530863
97,15530880,Mo-Su,15530880
98,15530888,Mo-Su,15530888
99,15530889,Mo-Su,15530889
100,15530890,Mo-Su,15530890
101,15530896,Mo-Su,15530896
102,15530897,Mo-Su,15530897
103,15530932,Mo-Su,15530932
104,15530934,Mo-Su,15530934
105,15530939,Mo-Su,15530939
106,15530946,Mo-Su,15530946
107,15530955,Mo-Su,15530955
108,15530956,Mo-Su,15530956
109,15530971,Mo-Su,15530971
110,15530992,Mo-Su,15530992
111,15530996,Mo-Su,15530996
112,15531008,Mo-Su,15531008
113,15531009,Mo-Su,15531009
114,15531011,Mo-Su,15531011
115,15531023,Mo-Su,15531023
116,15531281,Mo-Su,15531281
117,15531328,Mo-Su,15531328
118,15531332,Mo-Su,15531332
119,15532570,Mo-Su,15532570
120,15532820,Mo-Su,15532820
121,15532957,Mo-Su,15532957
122,15532967,Mo-Su,15532967
123,15537689,Mo-Su,15537689
124,15543571,Mo-Su,15543571
125,15551255,Mo-Su,15551255
126,15551481,Mo-Sa,15551481
127,15551481,Su,15551481
128,15553486,Mo-Su,15553486
129,15553535,Mo-Su,15553535
130,15553573,Mo-Su,15553573
131,15553574,Mo-Su,15553574
132,15553613,Mo-Su,15553613
133,15553633,Mo-Su,15553633
134,15553656,Mo-Su,15553656
135,15553724,Mo-Su,15553724
136,15553803,Mo-Su,15553803
137,15553817,Mo-Su,15553817
138,15553844,Mo-Su,15553844
139,15554578,Mo-Su,15554578
140,15589308,Mo-Su,15589308
141,15589323,Mo-Su,15589323
142,15589333,Mo-Su,15589333
143,15594038,Mo-Su,15594038
144,15594040,Mo-Su,15594040
145,15594042,Mo-Su,15594042
146,15594049,Mo-Su,15594049
147,15594053,Mo-Su,15594053
148,15597215,Mo-Su,15597215
149,15597755,Mo-Su,15597755
150,15597759,Mo-Su,15597759
151,15597762,Mo-Su,15597762
152,15597782,Mo-Su,15597782
